referencia;designacao;localizacao
101885G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - PRATA;GEZE P7
101886G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - BRONZE;
101887G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - BRANCA;GEZE P7
101888G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - PRETA;GEZE P7
102084G;MOLA DE PAVIMENTO TS 500 NV FORÇA VARIAVEL EN 1-4 S/RET.;
102127G;PLACA EMBELEZADORA TS 500 N/NV;GEZE P7
102247G;MOLA AEREA GEZE TS3000 EN 3 S/GUIA DESLIZANTE - PRATA;
102421G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 S/RET - PRATA;GEZE P7
102423G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 S/RET - BRANCO;GEZE P7
102445G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 C/RET - PRATA;GEZE P7
102447G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 C/RET - BRANCO;
102789G;MOLA AEREA GEZE TS 4000 - PRATA;GEZE P7
102791G;MOLA AEREA GEZE TS 4000  S/RET - BRANCO;
102837G;MOLA AEREA GEZE TS 4000 - PRATA;
102846;LIMITADOR ABERTURA HAUTAU DTº;
102849;LIMITADOR ABERTURA HAUTAU ESQ;
103086G;MOLA DE PAVIMENTO TS 500 N FORÇA FIXA EN 3 S/RET.;GEZE P6
103386G;MOLA AEREA GEZE TS 2000  S/RET - PRATA;GEZE P6
103388G;MOLA AEREA GEZE TS 2000  S/RET - BRANCA;
103940G;PROGRAMADOR DISPLAY DCU1;
104028G;MOLA DE PAVIMENTO TS 500 NV FORÇA VARIAVEL EN 1-4 C/RET. 90º;
104047G;MOLA DE PAVIMENTO TS 500 N FORÇA FIXA EN 3 C/RET. 90º;
104142G;MSW FECHADURA PAVIMENTO CASMA C/ACC;
105009G;DCU1 MOTOR REPOSIÇAO;
105010G;DCU1 UNIDADE DE CONTROLE REPOSIÇAO;
106863G;BATERIA EMERGENCIA ECONODRIVE 24V;
10733005;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - PRATA;
10733005H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - PRATA;CS3P2
10733081;"MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON -
DOURADA";
10733101;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - BRONZE;
10733152;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - TITAN;
10733152H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - TITAN;F1P2 ATRAS
10733187;"MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON -
CASTANHO";
10733195;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - BRANCO;
10733195H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - BRANCO;D10P5
10761031H;MANETE ATLANTA OP DOURADA;
10762949H;MANETE AMSTERDAO SECUSTIK 32 - 42 MM PRATA;
10763183H;MANETE HOPPE SECUSTIK STOCKHOLM F1 PRATA;
10763191H;MANETE JANELA SECUSTIK HOPPE STOCKHOLM F9 (TITAN);
10763319H;MANETE JANELA SECUSTIK HOPPE DALLAS F9 (TITAN);
10763706H;MANETE AÇO INOX HOPPE PARIS SECUSTIK VARIOFIT - F69;
10763790H;MANETE HOPPE SECUSTIK STOCKHOLM F69 TITAN;
10772928H;MANETE ATLANTA SECUSTIK 32-42 MM PRETA;
10780135H;MULETA - MULETA HOPPE DALLAS PRATA;
10802955H;MANETE HOPPE DALLAS 0643/US944 - RAL 8014;
108480G;MANIVELA DES. 3000 MM - BRANCA;
10878G;APOIO P/VARAO OL 90;GEZE P6
108824G;CARRO SIMPLES MSW;
108856G;MSW EMBELEZADOR ADESIVO FSB 1730;
1089G;CAPA P/BRAÇO SUPERIOR;
109507G;TS5000/3000/1500 - DESLIZADOR P/ GUIA;GEZE P8
109542G;MOLA AEREA GEZE TS 4000  S/RET - PRETA;
109544G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 S/RET - PRETA;GEZE P8
109545G;BRAÇO ARTIC./MOLA AEREA GEZE TS 2000 E 4000 C/RET - PRETA;GEZE P6
111446;BARRA UNIAO HORIZONTAL ELEVAVEL 720-1500 MM;
111455;BARRA UNIAO HORIZONTAL ELEVAVEL 1501-2000 MM;
111458G;BRAÇO INFERIOR PT 10;GEZE P6
111459G;PIVOT SUPERIOR (LADO PORTA) PT20;GEZE P8
111460G;PT 24 PONTO DE GIRO SUPERIOR FIXO;
111461G;PIVOT SUPERIOR (FRENTE VIDRO) PT 30;
111462G;PT 40 FIXAÇ.ENTALHE AO FIXO LAT. - INOX;GEZE P8
111469G;PT 63 PEÇA DE UNIAO EM L FIXO SUPERIOR - LATERAL;
11230G;PLACA DE MONTAGEM TS3000;
112340G;MOTOR GEZE E 740 230V - PRATA;
112342G;MOTOR GEZE E740;
112350G;MOTOR GEZE E740-24V PRATA;
112355G;ACESS.P/MOTOR GEZE E 740 - MONT.ARO;
112360G;SUPORTE MOTOR GEZE E740 CLARABOIA;
112365G;ACESSORIOS P/MOTOR GEZE E740;
112400G;MOTOR GEZE E 740 230V - PRATA;
113025;REFORÇO ARO VEKA 70 30X30X1.5;
113059;REFORÇO FOLHA VEKA 38X29X1.5;
113294;REFORÇO FOLHA VEKA 38X29X1.75;
114004G;SL TRINCO ELECTROMAGNETICO DCU1;
114077G;INTERRUPTOR DE COTOVELO 180X90 - PRATA;
114141G;GUIA DESLIZANTE ISM P/MOLA BOXER;
114669G;MOLA AEREA GEZE TS 1500 S/RET + BRAÇO ARTICULADO - PRATA;
114670G;MOLA AEREA GEZE TS 1500 S/RET + BRAÇO ARTICULADO - BRANCA;
115-0014;MANETE FKS COM CHAVE 37MM BRANCA;F1P2 ATRAS
115-00146;MANETE FKS COM CHAVE 37MM PRATA;F1P2 ATRAS
115-01002;MANETE FKS COM CHAVE 37MM PRETA;F1P2 ATRAS
11543152;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - PRETO;
11543152H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - PRETO;D10P5
11544958;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - PRETO;
115549G;GUIA DESLIZANTE ISM C/SELCT. FECHO P/TS3000 V / TS 5000;
115591G;GUIA DESLIZANTE ISM C/SEL.FECHO P/TS3000 V / TS 5000 BR.;
115592G;GUIA DESLIZANTE ISM C/SELCT. FECHO P/TS3000 V / TS 5000 INOX;
115593G;GUIA DESLIZANTE ISM C/SELCT.FECHO P/TS3000 V / TS 5000 PRETA;
115594G;GUIA DESLIZANTE ISM/BG C/SEL.FECHO TS 5000 - PRATA;
115597G;GUIA DESLIZANTE ISM/BG C/SEL.FECHO TS 5000 - PRETA;
115600G;TS5000 GUIA CONTINUA E-ISM COR PRATA;
115602G;TS5000 GUIA CONTINUA E-ISM COR BRANCA;
115608G;GUIA DESLIZANTE E-ISM/BG C/SEL.FECHO E RET.ELECTROMAGNETICO;
115610G;GUIA DESLIZANTE E-ISM/BG C/SEL.FECHO E RET.EL. LOOK INOX;
11569925H;"MANETE HOPPE ATHINAI SECUSTIK VARIOFIT 32-42 MM LATAO
ANTIGO";
115952G;ELECTROIMAN CONVERTIVEL P/MONTAGEM CHAO OU PAREDE;
116395G;CARRIL DE RODADURA ECDRIVE L= 6500MM;
11642191H;CREMONE ELEVAVEL HOPPE - DALLAS - PRATA;
11642245H;CREMONE ELEVAVEL HOPPE - DALLAS - TITAN;
11642270;CREMONE ELEVAVEL HOPPE - DALLAS - PRETA;
116627G;ECDRIVE MECANISMO DCU1;
11683004;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO TOULON - 7016;
116931G;MSW MANETE C/QUADRA SW8;
117304G;EIXO PORTUGUES P/ TS 550 NV;
117692G;SUSPENÇAO ESG EC 1 FOLHA ESQUERDA;
117764G;KIT ECDRIVE VP DCU1;
117766G;ECDRIVE TRINCO ELETROMAGNETICO DCU1;
117771G;COMPASSO OL 90 ABERT. EXTERIOR DTº;
117855G;EMD MECANISMO SLIMDRIVE P/ 1 FOLHA;
11792826H;MANETE ATLANTA SECUSTIK 32-42 MM BRANCA;
11807258H;MANETE / MANETE PRATA 8/92 - AUSTIN;F1P4
11807301H;MANETE / MANETE TITAN 8/92 - AUSTIN;F1P4
11807374H;MANETE / PUXADOR PRATA 8/92 - AUSTIN;
11808056H;MANETE / MANETE BRANCO 8/92 - AUSTIN;CS3P4
11808068H;MANETE / MANETE PRETA 8/92 - AUSTIN;F1P4
11808123H;MANETE / PUXADOR BRANCO 8/92 - AUSTIN;C4P4
11808135H;MANETE / PUXADOR PRETA 8/92 - AUSTIN;
118081G;COMPASSO ABERTURA EXTERIOR - BRANCO - ESQ;
11810944H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO ATLANTA - PRETO;F1P2 ATRAS
11819935H;MANETE / MANETE HOPPE TOULON TITAN 8/92;
11825704H;MANETE/MANETE QUADRA 8 ESPELHO SEPARADO ATLANTA -;D10P5
;BRANCO;
118474G;INTERRUPTOR LTA 220 V;
119318G;PERLAN 140 - ANGULO ENCAIXE AO MURO;
11932983H;ESPELHO CEGO COM ENTRADA CILINDRO PRATA - AUSTIN;
11933008H;ESPELHO CEGO COM ENTRADA CILINDRO BRANCO - AUSTIN;C4P4
11933021H;ESPELHO CEGO COM ENTRADA CILINDRO PRETO - AUSTIN;
119337G;KIT COMPLETO P/GEZE PERLAN 140KG 710-900 - 1650MM;
119339G;KIT COMPLETO P/GEZE PERLAN 140KG 1110-1300 - 2450MM;
119357G;"KIT COMPLETO PERLAN 140 S/ANGULOS FIXAÇAO A PAREDE
1510-1700";
119361G;PERLAN 140 ACESSORIOS S/ANGULO 51-170 CM;
119508;PERLAN 140 KS KIT ACESSORIOS C/ ENCAIXES 91-130 CM;
119538G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 C/RET - PRETO;
119568G;MOLA AEREA GEZE TS 2000  C/RET - PRETA;
119573G;MOLA AEREA GEZE TS 1000 BRAÇO S/RET. -  PRETA;
119574G;MOLA AEREA GEZE TS 1000 BRAÇO C/RETENÇÃO - PRETO;GEZE P6
119575G;MOLA AEREA GEZE TS1500 - PRETA;GEZE P6
119576G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 S/RET - PRETO;GEZE P6
119579G;MOLA TS 5000 L-MONTAGEM INVER. PRETO  -  EN 1154,1155 E;GEZE P6
119583;MOLA AEREA GEZE TS3000 V GUIA DESL.S/RET. PRETA;GEZE P6
119649G;CAPAS P/EXTREMO DO CARRIL PERLAN 140;
12004649H;MANETE JANELA SEM ESPELHO 37 MM PRATA - AUSTIN;CS4P3
12004716H;MANETE JANELA SEM ESPELHO 37 MM BRANCA - AUSTIN;
1,2009E+11;CILINDRO ELET.TECL. 90.2009 40X55;
1,2009E+11;KIT PUXADOR ELET.TECL. 90.135 APP S/CIL.INOX;
1,20091E+11;GATEWAY WIFI 90.9320 APP BRANCO;
1,20091E+11;GATEWAY WIFI BRANCO;
120135G;GUIA DE ALUMINIO ANODIZADO BARRA 6 MT;ES6P8
120150G;GUIA DE ALUM. 6 MTS ROLLAN 40N-80;
120161G;GUIA C/TAMPA DE RETENÇAO ROLLAN 40/80;GEZE P8
120162G;CALHA ROLLAN 40 N 510-700 MM;
120163G;CALHA ROLLAN 40 N 710-900 MM;
120164G;CALHA ROLLAN 40 N 810-1000 MM;
120165G;CALHA ROLLAN 40 N 910-1100 MM;
120166G;CALHA ROLLAN 40 N 1110-1300 MM;
120167G;CALHA ROLLAN 40 N 1310-1500 MM;
